N,Method,Result,Expected,AbsError,Time_ns
10,RectLeft,10.5600000000,10.6666666667,0.1066666667,334
10,RectRight,10.5600000000,10.6666666667,0.1066666667,250
10,RectMid,10.7200000000,10.6666666667,0.0533333333,125
10,Trapezoid,10.5600000000,10.6666666667,0.1066666667,125
10,MonteCarlo,11.2000000000,10.6666666667,0.5333333333,2583
50,RectLeft,10.6624000000,10.6666666667,0.0042666667,208
50,RectRight,10.6624000000,10.6666666667,0.0042666667,208
50,RectMid,10.6688000000,10.6666666667,0.0021333333,209
50,Trapezoid,10.6624000000,10.6666666667,0.0042666667,250
50,MonteCarlo,9.6000000000,10.6666666667,1.0666666667,3583
100,RectLeft,10.6656000000,10.6666666667,0.0010666667,291
100,RectRight,10.6656000000,10.6666666667,0.0010666667,333
100,RectMid,10.6672000000,10.6666666667,0.0005333333,375
100,Trapezoid,10.6656000000,10.6666666667,0.0010666667,292
100,MonteCarlo,10.7200000000,10.6666666667,0.0533333333,4875
500,RectLeft,10.6666240000,10.6666666667,0.0000426667,1291
500,RectRight,10.6666240000,10.6666666667,0.0000426667,1250
500,RectMid,10.6666880000,10.6666666667,0.0000213333,1375
500,Trapezoid,10.6666240000,10.6666666667,0.0000426667,1250
500,MonteCarlo,11.2000000000,10.6666666667,0.5333333333,15792
1000,RectLeft,10.6666560000,10.6666666667,0.0000106667,2417
1000,RectRight,10.6666560000,10.6666666667,0.0000106667,2459
1000,RectMid,10.6666720000,10.6666666667,0.0000053333,2708
1000,Trapezoid,10.6666560000,10.6666666667,0.0000106667,2458
1000,MonteCarlo,10.9600000000,10.6666666667,0.2933333333,29458
5000,RectLeft,10.6666662400,10.6666666667,0.0000004267,11959
5000,RectRight,10.6666662400,10.6666666667,0.0000004267,12000
5000,RectMid,10.6666668800,10.6666666667,0.0000002133,13334
5000,Trapezoid,10.6666662400,10.6666666667,0.0000004267,12000
5000,MonteCarlo,10.7872000000,10.6666666667,0.1205333333,139666
10000,RectLeft,10.6666665600,10.6666666667,0.0000001067,24125
10000,RectRight,10.6666665600,10.6666666667,0.0000001067,24250
10000,RectMid,10.6666667200,10.6666666667,0.0000000533,27083
10000,Trapezoid,10.6666665600,10.6666666667,0.0000001067,24334
10000,MonteCarlo,10.6960000000,10.6666666667,0.0293333333,265458
50000,RectLeft,10.6666666624,10.6666666667,0.0000000043,87791
50000,RectRight,10.6666666624,10.6666666667,0.0000000043,87917
50000,RectMid,10.6666666688,10.6666666667,0.0000000021,97833
50000,Trapezoid,10.6666666624,10.6666666667,0.0000000043,88083
50000,MonteCarlo,10.6473600000,10.6666666667,0.0193066667,1008709
100000,RectLeft,10.6666666656,10.6666666667,0.0000000011,175166
100000,RectRight,10.6666666656,10.6666666667,0.0000000011,175875
100000,RectMid,10.6666666672,10.6666666667,0.0000000005,196625
100000,Trapezoid,10.6666666656,10.6666666667,0.0000000011,175792
100000,MonteCarlo,10.6651200000,10.6666666667,0.0015466667,2016917
500000,RectLeft,10.6666666666,10.6666666667,0.0000000000,882000
500000,RectRight,10.6666666666,10.6666666667,0.0000000000,885167
500000,RectMid,10.6666666667,10.6666666667,0.0000000000,867166
500000,Trapezoid,10.6666666666,10.6666666667,0.0000000000,807000
500000,MonteCarlo,10.6709760000,10.6666666667,0.0043093333,8840459
1000000,RectLeft,10.6666666667,10.6666666667,0.0000000000,1890084
1000000,RectRight,10.6666666667,10.6666666667,0.0000000000,1883000
1000000,RectMid,10.6666666667,10.6666666667,0.0000000000,1778875
1000000,Trapezoid,10.6666666667,10.6666666667,0.0000000000,1592500
1000000,MonteCarlo,10.6570240000,10.6666666667,0.0096426667,12186167
